,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,cycle_duration,quarter_close,account_sector,account_revenue,account_employees,office_location,size_category,manager,regional_office,series,sales_price
3073,EUOA0E47,Donn Cantrell,MG Advanced,Zotware,Won,2017-06-25,2017-07-05,3423.0,10.0,Q3 2017,Software,4478.47,13809,United States,Enterprise,Rocco Neubert,East,MG,3393
3077,NMN9DVEV,Gladys Colclough,GTX Plus Basic,Rangreen,Won,2017-06-25,2017-09-14,1102.0,81.0,Q3 2017,Technolgy,2938.67,8775,Panama,Enterprise,Melvin Marxen,Central,GTX,1096
3078,95V8BLR2,Kami Bicknell,GTX Basic,Goodsilron,Won,2017-06-25,2017-09-22,519.0,89.0,Q3 2017,Marketing,2952.73,5107,United States,Enterprise,Summer Sewald,West,GTX,550
3083,81DXTTI5,Lajuana Vencill,GTX Plus Pro,Isdom,Won,2017-06-25,2017-07-03,5536.0,8.0,Q3 2017,Medical,3178.24,4540,United States,Enterprise,Dustin Brinkmann,Central,GTX,5482
3085,95B6AKI1,Marty Freudenburg,GTX Plus Basic,Warephase,Won,2017-06-25,2017-07-02,839.0,7.0,Q3 2017,Services,2041.73,5276,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3086,N1G2CFCB,Maureen Marcano,GTX Basic,Dalttechnology,Won,2017-06-25,2017-09-06,500.0,73.0,Q3 2017,Software,98.79,96,United States,SMB,Summer Sewald,West,GTX,550
3087,40VSPND6,Moses Frase,MG Advanced,Rangreen,Won,2017-06-25,2017-09-24,3679.0,91.0,Q3 2017,Technolgy,2938.67,8775,Panama,Enterprise,Dustin Brinkmann,Central,MG,3393
3093,7RPM84Y4,Vicki Laflamme,MG Advanced,Goodsilron,Won,2017-06-25,2017-06-30,3815.0,5.0,Q2 2017,Marketing,2952.73,5107,United States,Enterprise,Celia Rouche,West,MG,3393
3094,LFN6XPK7,Vicki Laflamme,MG Advanced,Sunnamplex,Won,2017-06-25,2017-06-27,2753.0,2.0,Q2 2017,Marketing,894.37,1593,Poland,Enterprise,Celia Rouche,West,MG,3393
3095,18LZY55R,Violet Mclelland,MG Special,Xx-zobam,Won,2017-06-25,2017-07-02,60.0,7.0,Q3 2017,Entertainment,3838.39,8274,United States,Enterprise,Cara Losch,East,MG,55
3097,UQALCAIV,Zane Levy,GTX Plus Basic,Rantouch,Won,2017-06-25,2017-07-03,1137.0,8.0,Q3 2017,Telecommunications,1188.42,3015,United States,Enterprise,Summer Sewald,West,GTX,1096
3098,6E2Y3HKI,Boris Faz,GTX Plus Pro,Yearin,Won,2017-06-26,2017-07-04,5201.0,8.0,Q3 2017,Retail,2261.05,3851,United States,Enterprise,Rocco Neubert,East,GTX,5482
3101,ZRZI054E,Cecily Lampkin,GTX Basic,Toughzap,Won,2017-06-26,2017-07-06,612.0,10.0,Q3 2017,Retail,332.43,799,United States,Mid-Market,Dustin Brinkmann,Central,GTX,550
3102,CN69EYQ1,Corliss Cosme,GTX Plus Pro,Donquadtech,Won,2017-06-26,2017-09-11,4905.0,77.0,Q3 2017,Technolgy,1712.68,3194,United States,Enterprise,Cara Losch,East,GTX,5482
3104,NX4ODZY2,Darcel Schlecht,GTX Plus Basic,Streethex,Won,2017-06-26,2017-08-31,1028.0,66.0,Q3 2017,Retail,1376.8,1165,Belgium,Mid-Market,Melvin Marxen,Central,GTX,1096
3105,L2QMWU4H,Darcel Schlecht,GTX Plus Pro,Codehow,Won,2017-06-26,2017-09-12,4430.0,78.0,Q3 2017,Software,2714.9,2641,United States,Enterprise,Melvin Marxen,Central,GTX,5482
3108,XVYL67FL,Donn Cantrell,GTX Basic,Bioplex,Won,2017-06-26,2017-07-06,541.0,10.0,Q3 2017,Medical,326.82,1016,United States,Mid-Market,Rocco Neubert,East,GTX,550
3109,HVDQ4EEA,Gladys Colclough,MG Advanced,Rangreen,Won,2017-06-26,2017-06-28,3478.0,2.0,Q2 2017,Technolgy,2938.67,8775,Panama,Enterprise,Melvin Marxen,Central,MG,3393
3110,AUS25SFH,Jonathan Berthelot,GTX Basic,Cancity,Won,2017-06-26,2017-07-03,504.0,7.0,Q3 2017,Retail,718.62,2448,United States,Enterprise,Melvin Marxen,Central,GTX,550
3113,Q3HYAWDW,Markita Hansen,MG Advanced,Golddex,Won,2017-06-26,2017-08-24,3838.0,59.0,Q3 2017,Finance,52.5,165,United States,SMB,Celia Rouche,West,MG,3393
3114,94TA0AWF,Marty Freudenburg,GTX Plus Pro,Scottech,Won,2017-06-26,2017-08-26,5217.0,61.0,Q3 2017,Marketing,45.39,100,United States,SMB,Melvin Marxen,Central,GTX,5482
3115,G1XX0IB4,Marty Freudenburg,GTX Plus Pro,Streethex,Won,2017-06-26,2017-07-05,4181.0,9.0,Q3 2017,Retail,1376.8,1165,Belgium,Mid-Market,Melvin Marxen,Central,GTX,5482
3116,VIMY08JH,Maureen Marcano,GTX Basic,Hatfan,Won,2017-06-26,2017-07-06,518.0,10.0,Q3 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,GTX,550
3117,WPTNE0QN,Moses Frase,GTX Basic,Streethex,Won,2017-06-26,2017-09-17,533.0,83.0,Q3 2017,Retail,1376.8,1165,Belgium,Mid-Market,Dustin Brinkmann,Central,GTX,550
3118,DLGW8Y7B,Rosalina Dieter,MG Advanced,Singletechno,Won,2017-06-26,2017-08-03,3855.0,38.0,Q3 2017,Retail,2214.94,5374,United States,Enterprise,Celia Rouche,West,MG,3393
3120,HM4TKVET,Zane Levy,GTX Basic,Nam-zim,Won,2017-06-26,2017-07-04,617.0,8.0,Q3 2017,Services,405.59,1179,Brazil,Mid-Market,Summer Sewald,West,GTX,550
3121,Q81Q0PJK,Anna Snelling,GTX Plus Basic,Warephase,Won,2017-06-27,2017-07-06,991.0,9.0,Q3 2017,Services,2041.73,5276,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
3122,Y5HR9J3G,Cecily Lampkin,GTX Basic,Domzoom,Won,2017-06-27,2017-08-01,513.0,35.0,Q3 2017,Entertainment,217.87,551,United States,SMB,Dustin Brinkmann,Central,GTX,550
3123,STYLQ47K,Corliss Cosme,GTX Plus Pro,Ganjaflex,Won,2017-06-27,2017-07-07,5121.0,10.0,Q3 2017,Retail,5158.71,17479,Japan,Enterprise,Cara Losch,East,GTX,5482
3127,RKT3WVBC,Garret Kinder,GTX Basic,Iselectrics,Won,2017-06-27,2017-09-20,470.0,85.0,Q3 2017,Technolgy,527.11,1428,United States,Mid-Market,Cara Losch,East,GTX,550
3129,07WKR17A,Gladys Colclough,GTX Plus Pro,Treequote,Won,2017-06-27,2017-09-17,6193.0,82.0,Q3 2017,Telecommunications,5266.09,8595,United States,Enterprise,Melvin Marxen,Central,GTX,5482
3130,QM6GJ78P,Kami Bicknell,MG Special,Blackzim,Won,2017-06-27,2017-07-07,59.0,10.0,Q3 2017,Retail,497.11,1588,United States,Enterprise,Summer Sewald,West,MG,55
3132,DQ0DSK7P,Marty Freudenburg,GTX Plus Basic,Globex Corporation,Won,2017-06-27,2017-07-02,1176.0,5.0,Q3 2017,Technolgy,1223.72,2497,Norway,Enterprise,Melvin Marxen,Central,GTX,1096
3134,MIX6JTSN,Moses Frase,GTX Basic,Statholdings,Won,2017-06-27,2017-07-05,541.0,8.0,Q3 2017,Employment,291.27,586,United States,SMB,Dustin Brinkmann,Central,GTX,550
3135,9KYX5G9K,Niesha Huffines,GTX Plus Pro,Domzoom,Won,2017-06-27,2017-07-01,4766.0,4.0,Q3 2017,Entertainment,217.87,551,United States,SMB,Melvin Marxen,Central,GTX,5482
3137,T7TDUK3T,Versie Hillebrand,MG Advanced,Rangreen,Won,2017-06-27,2017-09-12,3046.0,77.0,Q3 2017,Technolgy,2938.67,8775,Panama,Enterprise,Dustin Brinkmann,Central,MG,3393
3138,42YPT5L7,Versie Hillebrand,MG Advanced,Ron-tech,Won,2017-06-27,2017-07-04,3548.0,7.0,Q3 2017,Medical,3922.42,6837,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
3140,ACZQMAR4,Vicki Laflamme,MG Advanced,Rantouch,Won,2017-06-27,2017-07-07,3615.0,10.0,Q3 2017,Telecommunications,1188.42,3015,United States,Enterprise,Celia Rouche,West,MG,3393
3141,TP9IE6PV,Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,Won,2017-06-28,2017-09-11,631.0,75.0,Q3 2017,Retail,894.33,1635,Italy,Enterprise,Dustin Brinkmann,Central,GTX,550
3145,TPNU79C1,Darcel Schlecht,MG Special,Toughzap,Won,2017-06-28,2017-09-29,54.0,93.0,Q3 2017,Retail,332.43,799,United States,Mid-Market,Melvin Marxen,Central,MG,55
3149,6FUPOO3I,Gladys Colclough,MG Advanced,Conecom,Won,2017-06-28,2017-07-07,3865.0,9.0,Q3 2017,Technolgy,1520.66,1806,United States,Enterprise,Melvin Marxen,Central,MG,3393
3151,K1OBT27J,James Ascencio,GTX Basic,Xx-holding,Won,2017-06-28,2017-08-10,553.0,43.0,Q3 2017,Finance,7537.24,20293,United States,Enterprise,Summer Sewald,West,GTX,550
3154,5CFCTZ5K,Jonathan Berthelot,GTX Basic,Ron-tech,Won,2017-06-28,2017-09-02,501.0,66.0,Q3 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,GTX,550
3155,EG5M02ZV,Kary Hendrixson,GTX Basic,J-Texon,Won,2017-06-28,2017-09-27,539.0,91.0,Q3 2017,Retail,1388.67,3583,United States,Enterprise,Summer Sewald,West,GTX,550
3156,5UKQ16DK,Kary Hendrixson,GTX Plus Basic,Singletechno,Won,2017-06-28,2017-07-04,1028.0,6.0,Q3 2017,Retail,2214.94,5374,United States,Enterprise,Summer Sewald,West,GTX,1096
3157,ZS4PKX65,Lajuana Vencill,GTX Basic,Finhigh,Won,2017-06-28,2017-08-11,560.0,44.0,Q3 2017,Finance,1102.43,1759,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
3160,Y5CP83V4,Moses Frase,GTX Basic,Isdom,Won,2017-06-28,2017-09-30,530.0,94.0,Q3 2017,Medical,3178.24,4540,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
3161,9Y2HDGST,Versie Hillebrand,GTX Basic,Dontechi,Won,2017-06-28,2017-07-02,462.0,4.0,Q3 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
3162,7R0G2LC1,Vicki Laflamme,GTX Plus Basic,Blackzim,Won,2017-06-28,2017-09-07,1211.0,71.0,Q3 2017,Retail,497.11,1588,United States,Enterprise,Celia Rouche,West,GTX,1096
3163,AU5Q1XCW,Vicki Laflamme,MG Advanced,Faxquote,Won,2017-06-28,2017-09-09,3104.0,73.0,Q3 2017,Telecommunications,1825.82,5595,United States,Enterprise,Celia Rouche,West,MG,3393
3165,CUMYWQYP,Violet Mclelland,MG Special,Gekko & Co,Won,2017-06-28,2017-09-30,56.0,94.0,Q3 2017,Retail,2520.83,3502,United States,Enterprise,Cara Losch,East,MG,55
3166,29ZDUK49,Anna Snelling,GTX Plus Basic,Betatech,Won,2017-06-29,2017-07-10,1047.0,11.0,Q3 2017,Medical,647.18,1185,Kenya,Mid-Market,Dustin Brinkmann,Central,GTX,1096
3168,NNKWGFDH,Darcel Schlecht,MG Special,Globex Corporation,Won,2017-06-29,2017-07-06,57.0,7.0,Q3 2017,Technolgy,1223.72,2497,Norway,Enterprise,Melvin Marxen,Central,MG,55
3169,YC6QEUJN,Garret Kinder,GTX Plus Basic,Kan-code,Won,2017-06-29,2017-07-08,950.0,9.0,Q3 2017,Software,11698.03,34288,United States,Enterprise,Cara Losch,East,GTX,1096
3170,794XWMYE,Garret Kinder,MG Special,Mathtouch,Won,2017-06-29,2017-09-07,61.0,70.0,Q3 2017,Marketing,3027.46,9516,Jordan,Enterprise,Cara Losch,East,MG,55
3171,FHK0BBGK,Garret Kinder,MG Special,Xx-zobam,Won,2017-06-29,2017-07-08,62.0,9.0,Q3 2017,Entertainment,3838.39,8274,United States,Enterprise,Cara Losch,East,MG,55
3172,461LIUS7,Gladys Colclough,GTX Plus Basic,Isdom,Won,2017-06-29,2017-07-07,1105.0,8.0,Q3 2017,Medical,3178.24,4540,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3173,Y9SCLUH8,Jonathan Berthelot,GTX Plus Basic,Ron-tech,Won,2017-06-29,2017-09-02,835.0,65.0,Q3 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3174,J75Y9C75,Kami Bicknell,GTX Plus Basic,Rantouch,Won,2017-06-29,2017-08-28,1104.0,60.0,Q3 2017,Telecommunications,1188.42,3015,United States,Enterprise,Summer Sewald,West,GTX,1096
3175,PUP6JDT9,Kami Bicknell,MG Advanced,Kan-code,Won,2017-06-29,2017-09-12,3464.0,75.0,Q3 2017,Software,11698.03,34288,United States,Enterprise,Summer Sewald,West,MG,3393
3182,G087QT6R,Moses Frase,MG Advanced,Rundofase,Won,2017-06-29,2017-07-06,3676.0,7.0,Q3 2017,Technolgy,1008.06,1238,United States,Mid-Market,Dustin Brinkmann,Central,MG,3393
3183,PUTILZZG,Niesha Huffines,GTX Basic,Treequote,Won,2017-06-29,2017-08-09,568.0,41.0,Q3 2017,Telecommunications,5266.09,8595,United States,Enterprise,Melvin Marxen,Central,GTX,550
3184,1SKIPYI7,Rosalina Dieter,MG Special,Groovestreet,Won,2017-06-29,2017-09-03,55.0,66.0,Q3 2017,Retail,223.8,299,United States,SMB,Celia Rouche,West,MG,55
3185,66Q03Q2P,Versie Hillebrand,GTX Basic,Konmatfix,Won,2017-06-29,2017-07-10,466.0,11.0,Q3 2017,Marketing,375.43,1190,United States,Mid-Market,Dustin Brinkmann,Central,GTX,550
3187,F3G00C56,Vicki Laflamme,MG Advanced,Plexzap,Won,2017-06-29,2017-07-08,3562.0,9.0,Q3 2017,Retail,2437.85,4874,United States,Enterprise,Celia Rouche,West,MG,3393
3188,B8TD9HCN,Violet Mclelland,MG Advanced,Kinnamplus,Won,2017-06-29,2017-07-11,3172.0,12.0,Q3 2017,Retail,702.72,1831,United States,Enterprise,Cara Losch,East,MG,3393
3189,PEFTXK4Q,Wilburn Farren,MG Advanced,Kinnamplus,Won,2017-06-29,2017-09-10,3350.0,73.0,Q3 2017,Retail,702.72,1831,United States,Enterprise,Cara Losch,East,MG,3393
3190,LUIEQRMQ,Zane Levy,GTX Basic,Goodsilron,Won,2017-06-29,2017-07-10,595.0,11.0,Q3 2017,Marketing,2952.73,5107,United States,Enterprise,Summer Sewald,West,GTX,550
3191,8QOUXQEV,Anna Snelling,GTX Basic,Betatech,Won,2017-06-30,2017-09-27,560.0,89.0,Q3 2017,Medical,647.18,1185,Kenya,Mid-Market,Dustin Brinkmann,Central,GTX,550
3192,6SC26SGG,Boris Faz,GTX Plus Basic,Yearin,Won,2017-06-30,2017-07-02,1167.0,2.0,Q3 2017,Retail,2261.05,3851,United States,Enterprise,Rocco Neubert,East,GTX,1096
3194,2Y9R7T2W,Cassey Cress,MG Advanced,Betasoloin,Won,2017-06-30,2017-09-26,3280.0,88.0,Q3 2017,Medical,251.41,495,United States,SMB,Rocco Neubert,East,MG,3393
3195,8U5GBXK1,Cecily Lampkin,MG Advanced,Genco Pura Olive Oil Company,Won,2017-06-30,2017-09-15,3427.0,77.0,Q3 2017,Retail,894.33,1635,Italy,Enterprise,Dustin Brinkmann,Central,MG,3393
3198,G2EECJNG,Daniell Hammack,GTX Plus Basic,Iselectrics,Won,2017-06-30,2017-09-27,940.0,89.0,Q3 2017,Technolgy,527.11,1428,United States,Mid-Market,Rocco Neubert,East,GTX,1096
3199,UZN5JBF3,Darcel Schlecht,GTX Basic,Warephase,Won,2017-06-30,2017-09-29,565.0,91.0,Q3 2017,Services,2041.73,5276,United States,Enterprise,Melvin Marxen,Central,GTX,550
3200,K5D2IP27,Elease Gluck,MG Special,Labdrill,Won,2017-06-30,2017-07-09,51.0,9.0,Q3 2017,Medical,2741.37,9226,United States,Enterprise,Celia Rouche,West,MG,55
3204,4HP16LRH,Marty Freudenburg,MG Advanced,Konmatfix,Won,2017-06-30,2017-07-09,3699.0,9.0,Q3 2017,Marketing,375.43,1190,United States,Mid-Market,Melvin Marxen,Central,MG,3393
3205,MNTHSHH6,Maureen Marcano,GTX Plus Pro,Cheers,Won,2017-06-30,2017-07-07,5909.0,7.0,Q3 2017,Entertainment,4269.9,6472,United States,Enterprise,Summer Sewald,West,GTX,5482
3208,5J1C46RJ,Reed Clapper,GTX Plus Pro,Massive Dynamic,Won,2017-06-30,2017-09-19,5927.0,81.0,Q3 2017,Entertainment,665.06,1095,United States,Mid-Market,Rocco Neubert,East,GTX,5482
3209,0BSYDRMT,Reed Clapper,MG Special,Bluth Company,Won,2017-06-30,2017-09-18,60.0,80.0,Q3 2017,Technolgy,1242.32,3027,United States,Enterprise,Rocco Neubert,East,MG,55
3210,NKERC6IA,Reed Clapper,MG Advanced,Zencorporation,Won,2017-06-30,2017-07-11,3351.0,11.0,Q3 2017,Technolgy,40.79,142,China,SMB,Rocco Neubert,East,MG,3393
3211,H6AN87LE,Rosalina Dieter,MG Special,Nam-zim,Won,2017-06-30,2017-07-09,64.0,9.0,Q3 2017,Services,405.59,1179,Brazil,Mid-Market,Celia Rouche,West,MG,55
3213,0XK80WX8,Versie Hillebrand,MG Special,dambase,Won,2017-06-30,2017-07-11,47.0,11.0,Q3 2017,Marketing,2173.98,2928,United States,Enterprise,Dustin Brinkmann,Central,MG,55
3214,X4ARE2PT,Versie Hillebrand,MG Special,Dontechi,Won,2017-06-30,2017-07-01,53.0,1.0,Q3 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,MG,55
3219,7T9J42UX,Cecily Lampkin,GTX Plus Pro,Globex Corporation,Won,2017-07-01,2017-07-11,4391.0,10.0,Q3 2017,Technolgy,1223.72,2497,Norway,Enterprise,Dustin Brinkmann,Central,GTX,5482
3220,2J649YC5,Darcel Schlecht,GTX Plus Basic,Statholdings,Won,2017-07-01,2017-07-11,1308.0,10.0,Q3 2017,Employment,291.27,586,United States,SMB,Melvin Marxen,Central,GTX,1096
3221,ZWXKCHOO,Donn Cantrell,GTX Basic,Condax,Won,2017-07-01,2017-09-25,535.0,86.0,Q3 2017,Medical,4.54,9,United States,SMB,Rocco Neubert,East,GTX,550
3224,4QTD5X53,Gladys Colclough,MG Advanced,Isdom,Won,2017-07-01,2017-07-06,3252.0,5.0,Q3 2017,Medical,3178.24,4540,United States,Enterprise,Melvin Marxen,Central,MG,3393
3227,2IQ0ZY9W,Jonathan Berthelot,GTX Basic,Scottech,Won,2017-07-01,2017-07-11,574.0,10.0,Q3 2017,Marketing,45.39,100,United States,SMB,Melvin Marxen,Central,GTX,550
3228,N3TUSU37,Jonathan Berthelot,GTX Plus Basic,Codehow,Won,2017-07-01,2017-08-11,1012.0,41.0,Q3 2017,Software,2714.9,2641,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3229,O6LVMQ5R,Kary Hendrixson,GTX Basic,Dalttechnology,Won,2017-07-01,2017-07-07,576.0,6.0,Q3 2017,Software,98.79,96,United States,SMB,Summer Sewald,West,GTX,550
3233,LYAFXO9B,Markita Hansen,GTX Basic,J-Texon,Won,2017-07-01,2017-07-12,592.0,11.0,Q3 2017,Retail,1388.67,3583,United States,Enterprise,Celia Rouche,West,GTX,550
3234,UFIAFP10,Markita Hansen,MG Special,Green-Plus,Won,2017-07-01,2017-07-02,50.0,1.0,Q3 2017,Services,692.19,1922,United States,Enterprise,Celia Rouche,West,MG,55
3235,MG7CZFIG,Markita Hansen,MG Advanced,Konex,Won,2017-07-01,2017-09-30,3225.0,91.0,Q3 2017,Technolgy,7708.38,13756,United States,Enterprise,Celia Rouche,West,MG,3393
3236,H4U50AEW,Marty Freudenburg,GTX Plus Pro,Stanredtax,Won,2017-07-01,2017-07-09,5422.0,8.0,Q3 2017,Finance,1698.2,3798,United States,Enterprise,Melvin Marxen,Central,GTX,5482
3237,8PU9FIQS,Marty Freudenburg,MG Advanced,Domzoom,Won,2017-07-01,2017-07-11,3657.0,10.0,Q3 2017,Entertainment,217.87,551,United States,SMB,Melvin Marxen,Central,MG,3393
3239,MJ12SZ89,Maureen Marcano,GTX Plus Pro,Goodsilron,Won,2017-07-01,2017-07-10,4974.0,9.0,Q3 2017,Marketing,2952.73,5107,United States,Enterprise,Summer Sewald,West,GTX,5482
3241,TKKSOBRC,Niesha Huffines,MG Special,Warephase,Won,2017-07-01,2017-07-12,50.0,11.0,Q3 2017,Services,2041.73,5276,United States,Enterprise,Melvin Marxen,Central,MG,55
3243,YY3ACGA2,Vicki Laflamme,GTX Basic,Kan-code,Won,2017-07-01,2017-07-11,571.0,10.0,Q3 2017,Software,11698.03,34288,United States,Enterprise,Celia Rouche,West,GTX,550
3248,019I751P,Anna Snelling,GTX Plus Basic,Statholdings,Won,2017-07-02,2017-07-09,1180.0,7.0,Q3 2017,Employment,291.27,586,United States,SMB,Dustin Brinkmann,Central,GTX,1096
3251,PI0FYKXU,Cassey Cress,GTX Plus Pro,Zathunicon,Won,2017-07-02,2017-07-04,5274.0,2.0,Q3 2017,Retail,71.12,144,United States,SMB,Rocco Neubert,East,GTX,5482
3252,I7QSO0VZ,Cecily Lampkin,GTX Basic,Rundofase,Won,2017-07-02,2017-07-04,480.0,2.0,Q3 2017,Technolgy,1008.06,1238,United States,Mid-Market,Dustin Brinkmann,Central,GTX,550
3255,A9Q7ERA4,Darcel Schlecht,GTX Plus Pro,Finhigh,Won,2017-07-02,2017-07-04,5333.0,2.0,Q3 2017,Finance,1102.43,1759,United States,Enterprise,Melvin Marxen,Central,GTX,5482
3259,0D95JSVW,James Ascencio,GTX Plus Pro,Hatfan,Won,2017-07-02,2017-09-16,6192.0,76.0,Q3 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,GTX,5482
3261,CMLYDJFN,Kami Bicknell,GTX Basic,Plexzap,Won,2017-07-02,2017-08-11,490.0,40.0,Q3 2017,Retail,2437.85,4874,United States,Enterprise,Summer Sewald,West,GTX,550
3265,6TBAKLMX,Niesha Huffines,GTX Plus Basic,Funholding,Won,2017-07-02,2017-09-23,1157.0,83.0,Q3 2017,Finance,2819.5,7227,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3268,OHJGW03I,Violet Mclelland,MG Special,Yearin,Won,2017-07-02,2017-07-13,55.0,11.0,Q3 2017,Retail,2261.05,3851,United States,Enterprise,Cara Losch,East,MG,55
3270,9OLZU3WB,Cecily Lampkin,MG Special,Condax,Won,2017-07-03,2017-09-23,47.0,82.0,Q3 2017,Medical,4.54,9,United States,SMB,Dustin Brinkmann,Central,MG,55
3271,JDXET5H9,Cecily Lampkin,MG Special,Warephase,Won,2017-07-03,2017-08-31,51.0,59.0,Q3 2017,Services,2041.73,5276,United States,Enterprise,Dustin Brinkmann,Central,MG,55
3275,AHIDE6VS,Donn Cantrell,GTX Basic,Kan-code,Won,2017-07-03,2017-07-12,540.0,9.0,Q3 2017,Software,11698.03,34288,United States,Enterprise,Rocco Neubert,East,GTX,550
3276,YZJLPVJG,Donn Cantrell,GTX Plus Pro,Konex,Won,2017-07-03,2017-07-04,4915.0,1.0,Q3 2017,Technolgy,7708.38,13756,United States,Enterprise,Rocco Neubert,East,GTX,5482
3280,M3MJY0CK,James Ascencio,GTX Plus Pro,Lexiqvolax,Won,2017-07-03,2017-09-27,6693.0,86.0,Q3 2017,Medical,1618.89,3889,United States,Enterprise,Summer Sewald,West,GTX,5482
3281,H2HNTSIP,Jonathan Berthelot,MG Advanced,Hottechi,Won,2017-07-03,2017-07-05,3101.0,2.0,Q3 2017,Technolgy,8170.38,16499,Korea,Enterprise,Melvin Marxen,Central,MG,3393
3283,RABLXW5E,Kami Bicknell,MG Special,Hatfan,Won,2017-07-03,2017-09-02,56.0,61.0,Q3 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,MG,55
3284,TJTOVN5K,Kary Hendrixson,GTX Plus Basic,Cheers,Won,2017-07-03,2017-07-12,935.0,9.0,Q3 2017,Entertainment,4269.9,6472,United States,Enterprise,Summer Sewald,West,GTX,1096
3285,1IG94UUQ,Kary Hendrixson,GTX Plus Basic,Singletechno,Won,2017-07-03,2017-07-13,1133.0,10.0,Q3 2017,Retail,2214.94,5374,United States,Enterprise,Summer Sewald,West,GTX,1096
3286,D7JDQB12,Lajuana Vencill,MG Advanced,Bioholding,Won,2017-07-03,2017-09-23,2857.0,82.0,Q3 2017,Medical,587.34,1356,Philipines,Mid-Market,Dustin Brinkmann,Central,MG,3393
3287,GWI45VGH,Lajuana Vencill,MG Advanced,Dontechi,Won,2017-07-03,2017-09-02,3118.0,61.0,Q3 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
3288,G3TZD0CB,Marty Freudenburg,GTX Plus Basic,Funholding,Won,2017-07-03,2017-07-11,1204.0,8.0,Q3 2017,Finance,2819.5,7227,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3290,WXCEZ7JY,Moses Frase,GTX Basic,Conecom,Won,2017-07-03,2017-09-06,376.0,65.0,Q3 2017,Technolgy,1520.66,1806,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
3291,WR45SVGN,Versie Hillebrand,GTX Basic,Toughzap,Won,2017-07-03,2017-11-02,511.0,122.0,Q4 2017,Retail,332.43,799,United States,Mid-Market,Dustin Brinkmann,Central,GTX,550
3292,WAFSPTW6,Vicki Laflamme,GTX Basic,Lexiqvolax,Won,2017-07-03,2017-07-14,491.0,11.0,Q3 2017,Medical,1618.89,3889,United States,Enterprise,Celia Rouche,West,GTX,550
3295,3AX6QBR3,Wilburn Farren,MG Advanced,Donquadtech,Won,2017-07-03,2017-09-07,3101.0,66.0,Q3 2017,Technolgy,1712.68,3194,United States,Enterprise,Cara Losch,East,MG,3393
3298,24OSGLGF,Anna Snelling,MG Special,Dontechi,Won,2017-07-04,2017-07-06,56.0,2.0,Q3 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,MG,55
3302,AUPXRV8O,Darcel Schlecht,GTX Plus Basic,Ron-tech,Won,2017-07-04,2017-09-05,1300.0,63.0,Q3 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,GTX,1096
3305,TS2JEK3E,Donn Cantrell,GTX Basic,Betasoloin,Won,2017-07-04,2017-09-23,531.0,81.0,Q3 2017,Medical,251.41,495,United States,SMB,Rocco Neubert,East,GTX,550
3311,XGMMHWZC,Moses Frase,GTX Basic,Domzoom,Won,2017-07-04,2017-09-25,475.0,83.0,Q3 2017,Entertainment,217.87,551,United States,SMB,Dustin Brinkmann,Central,GTX,550
3312,7MK55ULJ,Moses Frase,GTX Plus Basic,Ron-tech,Won,2017-07-04,2017-07-05,1102.0,1.0,Q3 2017,Medical,3922.42,6837,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
3313,0VZIDVCC,Moses Frase,MG Special,Zumgoity,Won,2017-07-04,2017-07-09,55.0,5.0,Q3 2017,Medical,441.08,1210,United States,Mid-Market,Dustin Brinkmann,Central,MG,55
3316,YTQH4YM9,Versie Hillebrand,MG Special,Cancity,Won,2017-07-04,2017-07-05,63.0,1.0,Q3 2017,Retail,718.62,2448,United States,Enterprise,Dustin Brinkmann,Central,MG,55
3318,IG734VZK,Vicki Laflamme,GTX Plus Pro,Plusstrip,Won,2017-07-04,2017-07-14,5971.0,10.0,Q3 2017,Entertainment,349.81,315,United States,SMB,Celia Rouche,West,GTX,5482
3319,W3C2KLXD,Wilburn Farren,GTX Plus Pro,Ganjaflex,Won,2017-07-04,2017-08-27,5710.0,54.0,Q3 2017,Retail,5158.71,17479,Japan,Enterprise,Cara Losch,East,GTX,5482
